sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 02 19 14:08:20:757;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:759;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-7,8125;
2026 02 19 14:08:20:761;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:763;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:765;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:767;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:769;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:771;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:773;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:775;0,265;12;1;11,5814;0,9057;38,1165;3,2912;11,7188;
2026 02 19 14:08:20:777;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:779;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:781;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:783;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:785;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:787;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:789;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:791;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:793;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:795;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:797;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:799;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-3,9062;
2026 02 19 14:08:20:801;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-11,7187;
2026 02 19 14:08:20:803;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:805;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:807;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:809;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:811;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:813;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:815;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:817;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:819;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-7,8125;
2026 02 19 14:08:20:821;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:823;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:825;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:827;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:829;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:831;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:833;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:835;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:837;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:839;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-3,9062;
2026 02 19 14:08:20:841;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:843;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:845;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-3,9062;
2026 02 19 14:08:20:847;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:849;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:851;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:853;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:855;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:857;0,265;12;1;11,5814;0,9057;38,1165;3,2912;7,8125;
2026 02 19 14:08:20:859;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:861;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:863;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-19,5312;
2026 02 19 14:08:20:865;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:867;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:869;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:871;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:873;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:875;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:877;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:879;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-7,8125;
2026 02 19 14:08:20:881;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:883;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:885;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:887;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:889;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:891;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:893;0,265;12;1;11,5814;0,9057;38,1165;3,2912;3,9063;
2026 02 19 14:08:20:895;0,265;12;1;11,5814;0,9057;38,1165;3,2912;15,625;
2026 02 19 14:08:20:897;0,265;12;1;11,5814;0,9057;38,1165;3,2912;11,7188;
2026 02 19 14:08:20:899;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-3,9062;
2026 02 19 14:08:20:901;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-15,625;
2026 02 19 14:08:20:903;0,265;12;1;11,5814;0,9057;38,1165;3,2912;-11,7187;
2026 02 19 14:08:20:905;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
2026 02 19 14:08:20:907;0,265;12;1;11,5814;0,9057;38,1165;3,2912;0;
