sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 12:13:15:174;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:176;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:178;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:180;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:182;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:184;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:186;0,26;11;1;11,17;0,61;36,35;3,25;-23,44;
2026 03 12 12:13:15:188;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:190;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:192;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:194;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:196;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:198;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:200;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:202;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:204;0,26;11;1;11,17;0,61;36,35;3,25;-15,62;
2026 03 12 12:13:15:206;0,26;11;1;11,17;0,61;36,35;3,25;-27,34;
2026 03 12 12:13:15:208;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:210;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:212;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:214;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:216;0,26;11;1;11,17;0,61;36,35;3,25;15,63;
2026 03 12 12:13:15:218;0,26;11;1;11,17;0,61;36,35;3,25;19,53;
2026 03 12 12:13:15:220;0,26;11;1;11,17;0,61;36,35;3,25;7,81;
2026 03 12 12:13:15:222;0,26;11;1;11,17;0,61;36,35;3,25;-7,81;
2026 03 12 12:13:15:224;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:226;0,26;11;1;11,17;0,61;36,35;3,25;-19,53;
2026 03 12 12:13:15:228;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:230;0,26;11;1;11,17;0,61;36,35;3,25;0;
2026 03 12 12:13:15:232;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:234;0,26;11;1;11,17;0,61;36,35;3,25;3,91;
2026 03 12 12:13:15:236;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:238;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:240;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:242;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:244;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
